Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number
"Mobile Primary Care, Behavioral Health and Oral Health Unit","MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC.",230 Dover Rd,Clarksville,TN,37042-4183,615-920-5004
Matthew Walker Health Center - Clarksville,"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC.",230 Dover Rd,Clarksville,TN,37042-4183,931-920-5000
CHCWK - Todd County Site,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",10220 Dixie Beeline Hwy,Guthrie,KY,42234-9310,270-338-5777
"Community Medical Clinic, Oak Grove","PENNYROYAL HEALTHCARE SERVICES, INC",244 Thompsonville Ln,Oak Grove,KY,42262-8250,270-640-6074
Hopkinsville Community Care,FAITH HEALTHCARE INC,1841 Peartree Ln,Hopkinsville,KY,42240-4460,606-341-4744
"Community Medical Clinic, Hopkinsville","PENNYROYAL HEALTHCARE SERVICES, INC",1102 S Virginia St,Hopkinsville,KY,42240-3579,270-632-6741
STEWART COUNTY COMMUNITY HEALTH,FAITH HEALTHCARE INC,"1100 S Main St, #21",Hopkinsville,KY,42240-2079,270-238-3354
Logan County Community Health Center,TENNESSEE DEPARTMENT OF HEALTH,1021 Spring St,Dover,TN,37058-3302,931-232-5329 
Connectus Mobile Services,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",1497 Nashville Rd,Russellville,KY,42276-8970,999-999-9999
MADISON FAMILY CLINIC,"UNIVERSITY COMMUNITY HEALTH SERVICES, INC.",813 Louisville Hwy,Goodlettsville,TN,37072-1104,615-292-9770
MATTHEW WALKER COMPREHENSIVE HEALTH CENT,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",601 W Due West Ave,Madison,TN,37115-4423,615-227-3000
Dickerson Road Family Clinic,"MATTHEW WALKER COMPREHENSIVE HEALTH CENTER, INC.",1035 14th Ave N,Nashville,TN,37208-3050,615-327-9400
Neighborhood Health @ Inglewood,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",1223 Dickerson Road,Nashville,TN,37207-5408,615-227-3000
Main Street Family Clinic,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",3904 Gallatin Pike,Nashville,TN,37216-2406,615-227-3000
Downtown Clinic,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",905 Main St,Nashville,TN,37206-3609,615-227-3000
UNHS MIssion Clinic,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",526 8th Avenue South,Nashville,TN,37203,615-227-3000
UNITED NEIGHBORHOOD HEALTH SERVICES,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",639 Lafayette St,Nashville,TN,37203-4226,615-227-3000
Neighborhood Health at Cayce,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",617 S    8th St,Nashville,TN,37206-3819,615-227-3000
UNHS SOUTHSIDE FAMILY CLINIC,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",617 S    8th St,Nashville,TN,37206-3819,615-227-3000
VINE HILL COMMUNITY CLINIC,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",107 Charles E Davis Blvd,Nashville,TN,37210-2745,615-227-3000
UNHS Unity Health Center,"UNIVERSITY COMMUNITY HEALTH SERVICES, INC.",601 Benton Ave,Nashville,TN,37204-2303,615-292-9770
THREE RIVERS COMMUNITY HLTH GRP-HICKMAN,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",2195 Nolensville Road,Nashville,TN,37211-2041,615-227-3000
Three Rivers Community Health-Dental,"PERRY COUNTY MEDICAL CENTER, INC.",7723 Clearview Church Lane  STE 100,Lyles,TN,37098-1609,931-670-5520
Neighborhood Health @ Welshwood,"PERRY COUNTY MEDICAL CENTER, INC.",7723 Clearview Church Ln Ste 200,Lyles,TN,37098-1674,931-670-8318
Mercy office at FSSD Poplar Grove Elementary/Middle School,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",419 Welshwood Dr,Nashville,TN,37211-4206,615-227-3000
Mercy office at FSSD Freedom Middle school,"MERCY HEALTH SERVICES, INC.",1030 Excellence Way,Franklin,TN,37069,615-790-4720
Mercy office at FSSD Freedom Intermediate School,"MERCY HEALTH SERVICES, INC.",1000 Excellence Way,Franklin,TN,37064,615-794-0987
Mercy office at FSSD Johnson Elementary School,"MERCY HEALTH SERVICES, INC.",840 Glass Ln,Franklin,TN,37064-2461,615-790-4798
Mercy office at New Hope Academy,"MERCY HEALTH SERVICES, INC.",815 Glass Ln,Franklin,TN,37064-2465,615-794-4837
CHCs OF WESTERN KENTUCKY PEDIATRIC AND ADOLESCENT MEDICINE,"MERCY HEALTH SERVICES, INC.",1820 Downs Blvd,Franklin,TN,37064-6859,615-595-0324
"CHCS OF WESTERN KENTUCKY, INC.","COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",504 Hopkinsville St,Greenville,KY,42345-1104,270-338-6488
CHCWK - 228 Hopkinsville Street,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",480 Hopkinsville St,Greenville,KY,42345-1124,270-338-5777
WOMAN'S HEALTH CENTER,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",228 Hopkinsville St,Greenville,KY,42345-1231,270-338-5777
